D:\Dropbox\Python\advent_2020\advent_2020_hikarinessa\venv\Scripts\python.exe D:/Dropbox/Python/advent_2020/advent_2020_hikarinessa/advent_13.py
First part: 261
Start: 18:11:01
timestamp 629 / step: 41 / step index , bus: 27 , 41
timestamp 50690 / step: 18737 / step index , bus: 37 , 457
18:12:01 1108758709241
18:13:01 2206214310016
18:14:01 3351719879282
18:15:01 4451228530621
18:16:01 5548803167557
18:17:01 6659397883475
18:18:01 7796009560951
18:19:01 8931381111345
18:20:01 10065896924212
18:21:01 11202789431844
18:22:01 12345831104347
18:23:01 13495058085394
18:24:01 14634646435112
18:25:01 15770375899680
18:26:01 16907205582151
18:27:01 18045615524465
18:28:01 19192797380699
18:29:01 20316569566399
18:30:01 21324411548641
18:31:01 22330972163664
18:32:01 23336726675473
18:33:01 24347575833793
18:34:01 25345387843724
18:35:01 26447528837456
18:36:01 27550257629615
18:37:01 28638146324297
18:38:01 29729496829625
18:39:01 30831953335700
18:40:01 31931783232904
18:41:01 33033176826443
18:42:01 34151725174017
18:43:01 35277659459621
18:44:01 36399092892981
18:45:01 37504484306525
18:46:01 38624034521489
18:47:01 39742483975177
18:48:01 40861472492355
18:49:01 41980469591079
18:50:01 43088847345157
18:51:01 44198384469847
18:52:01 45321523626002
18:53:01 46440181753659
18:54:01 47524584654335
18:55:01 48507856246367
18:56:01 49456707126234
18:57:01 50514204182072
18:58:01 51591214511820
18:59:01 52692931412294
19:00:01 53801667867500
19:01:01 54887263228330
19:02:01 55969747122940
19:03:01 57052548141275
19:04:01 58115928334058
19:05:01 59147166683564
19:06:01 60150816711744
19:07:01 60981500714989
19:08:01 61911680268041
19:09:01 63005825790396
19:10:01 64063777199747
19:11:01 65149095646454
19:12:01 66238376219181
19:13:01 67305255190711
19:14:01 68346124058425
19:15:01 69442769827323
19:16:01 70529441628803
19:17:01 71583424841346
19:18:01 72661348150156
19:19:01 73712758098067
19:20:01 74767996146237
19:21:01 75826339908368
19:22:01 76894697528990
19:23:01 77990533297378
19:24:01 79081929483512
19:25:01 80067461207432
19:26:01 81153036219880
19:27:01 82251261405456
19:28:01 83345515133986
19:29:01 84414961149464
19:30:01 85507653411362
19:31:01 86591464297786
19:32:01 87687250431861
19:33:01 88754091292333
19:34:01 89792771884554
19:35:01 90867310017048
19:36:01 91939612694283
19:37:01 93017906620953
19:38:01 94079927950285
19:39:01 95147969346558
19:40:01 96246568166651
19:41:01 97286129828823
19:42:01 98362972687265
19:43:01 99457497502711
19:44:01 100552120631196
19:45:01 101653806165932
19:46:01 102746348381934
19:47:01 103834304211287
19:48:01 104928654116838
19:49:01 106026198025094
19:50:01 107121810523390
19:51:01 108216765352986
19:52:01 109308884712372
19:53:01 110408554333278
19:54:01 111501412792366
19:55:01 112598892994822
19:56:01 113700380198413
19:57:01 114779396848647
19:58:01 115856614128560
19:59:01 116948333022045
20:00:01 118043811232262
20:01:01 119133299336001
20:02:01 120245614633155
20:03:01 121343952840315
20:04:01 122435107750100
20:05:01 123524528981486
20:06:01 124605321449632
20:07:01 125684652787781
20:08:01 126782683520771
20:09:01 127881599146060
20:10:01 128980068493483
20:11:01 130084120961007
20:12:01 131174531243675
20:13:01 132279256856661
20:14:01 133384527079289
20:15:01 134495738973250
20:16:01 135595947189221
20:17:01 136672218644111
20:18:01 137763701189078
20:19:01 138866033075366
20:20:01 139966360852134
20:21:01 141062555227965
20:22:01 142131376476915
20:23:01 143226869508099
20:24:01 144329544693701
20:25:01 145427776437227
20:26:01 146526873680257
20:27:01 147623467266610
20:28:01 148716924747588
20:29:01 149817593725126
20:30:01 150922006017998
20:31:01 152026601970944
20:32:01 153129701849388
20:33:01 154197337289819
20:34:01 155218729720565
20:35:01 156295542599807
20:36:01 157383914446771
20:37:01 158485519787147
20:38:01 159568222773498
20:39:01 160665076523096
20:40:01 161763114076354
20:41:01 162866627049437
20:42:01 163952851355146
20:43:01 165039155761530
20:44:01 166130443778963
20:45:01 167218057845436
20:46:01 168314289489160
20:47:01 169388824623734
20:48:01 170440842643506
20:49:01 171496490825869
20:50:01 172555683167993
20:51:01 173622465793869
20:52:01 174693095594270
20:53:01 175794909627352
20:54:01 176852826972837
20:55:01 177922409674730
20:56:01 178941433074144
20:57:01 179992702850558
20:58:01 181048361375745
20:59:01 182134765350547
21:00:01 183215851727275
21:01:01 184304567885351
21:02:01 185364557767880
21:03:01 186409281323656
21:04:01 187493931721365
21:05:01 188578418545064
21:06:01 189659647641521
21:07:01 190674464790542
21:08:01 191733744840563
21:09:01 192762496003215
21:10:01 193790079906978
21:11:01 194864394544536
21:12:01 195871722608342
21:13:01 196922611761338
21:14:01 197949959578901
21:15:01 199022635647072
21:16:01 200070988822066
21:17:01 201137035233738
21:18:01 202217754515162
21:19:01 203286718258997
21:20:01 204378722535729
21:21:01 205399726211199
21:22:01 206505383053085
21:23:01 207622594890449
21:24:01 208696877543948
21:25:01 209714360705751
21:26:01 210787057703151
21:27:01 211846997258098
